Komoditas,Tahun,Bulan,Harga
Beras Premium,2021,Januari,Rp12.319
Beras Medium,2021,Januari,Rp10.865
Kedelai Biji Kering,2021,Januari,Rp10.607
Bawang Merah,2021,Januari,Rp30.329
Bawang Putih (Bonggol),2021,Januari,Rp26.308
Cabai Merah Keriting,2021,Januari,Rp47.968
Cabai Rawit Merah,2021,Januari,Rp68.226
 Daging Sapi Murni,2021,Januari,Rp121.836
 Daging Ayam Ras,2021,Januari,Rp34.531
 Telur Ayam Ras,2021,Januari,Rp25.454
 Gula Pasir Lokal/Curah,2021,Januari,Rp13.513
 Tepung Terigu Curah,2021,Januari,Rp8.291
 Minyak Goreng Kemasan,2021,Januari,Rp12.577
Beras Premium,2021,Februari,Rp12.316
Beras Medium,2021,Februari,Rp10.858
Kedelai Biji Kering,2021,Februari,Rp10.804
Bawang Merah,2021,Februari,Rp29.996
Bawang Putih (Bonggol),2021,Februari,Rp26.708
Cabai Merah Keriting,2021,Februari,Rp48.132
Cabai Rawit Merah,2021,Februari,Rp74.037
 Daging Sapi Murni,2021,Februari,Rp122.182
 Daging Ayam Ras,2021,Februari,Rp33.699
 Telur Ayam Ras,2021,Februari,Rp24.868
 Gula Pasir Lokal/Curah,2021,Februari,Rp13.420
 Tepung Terigu Curah,2021,Februari,Rp8.312
 Minyak Goreng Kemasan,2021,Februari,Rp12.602
Beras Premium,2021,Maret,Rp12.275
Beras Medium,2021,Maret,Rp10.837
Kedelai Biji Kering,2021,Maret,Rp10.955
Bawang Merah,2021,Maret,Rp33.050
Bawang Putih (Bonggol),2021,Maret,Rp28.356
Cabai Merah Keriting,2021,Maret,Rp48.400
Cabai Rawit Merah,2021,Maret,Rp92.656
 Daging Sapi Murni,2021,Maret,Rp122.031
 Daging Ayam Ras,2021,Maret,Rp33.457
 Telur Ayam Ras,2021,Maret,Rp24.541
 Gula Pasir Lokal/Curah,2021,Maret,Rp13.355
 Tepung Terigu Curah,2021,Maret,Rp8.351
 Minyak Goreng Kemasan,2021,Maret,Rp12.698
Beras Premium,2021,April,Rp12.211
Beras Medium,2021,April,Rp10.754
Kedelai Biji Kering,2021,April,Rp11.205
Bawang Merah,2021,April,Rp31.729
Bawang Putih (Bonggol),2021,April,Rp28.927
Cabai Merah Keriting,2021,April,Rp43.568
Cabai Rawit Merah,2021,April,Rp68.820
 Daging Sapi Murni,2021,April,Rp124.658
 Daging Ayam Ras,2021,April,Rp36.096
 Telur Ayam Ras,2021,April,Rp25.235
 Gula Pasir Lokal/Curah,2021,April,Rp13.377
 Tepung Terigu Curah,2021,April,Rp8.392
 Minyak Goreng Kemasan,2021,April,Rp12.850
Beras Premium,2021,Mei,Rp12.183
Beras Medium,2021,Mei,Rp10.735
Kedelai Biji Kering,2021,Mei,Rp11.374
Bawang Merah,2021,Mei,Rp31.355
Bawang Putih (Bonggol),2021,Mei,Rp28.781
Cabai Merah Keriting,2021,Mei,Rp36.964
Cabai Rawit Merah,2021,Mei,Rp58.653
 Daging Sapi Murni,2021,Mei,Rp126.934
 Daging Ayam Ras,2021,Mei,Rp37.084
 Telur Ayam Ras,2021,Mei,Rp25.114
 Gula Pasir Lokal/Curah,2021,Mei,Rp13.398
 Tepung Terigu Curah,2021,Mei,Rp8.434
 Minyak Goreng Kemasan,2021,Mei,Rp13.127
Beras Premium,2021,Juni,Rp12.199
Beras Medium,2021,Juni,Rp10.749
Kedelai Biji Kering,2021,Juni,Rp11.740
Bawang Merah,2021,Juni,Rp29.914
Bawang Putih (Bonggol),2021,Juni,Rp28.097
Cabai Merah Keriting,2021,Juni,Rp28.380
Cabai Rawit Merah,2021,Juni,Rp46.728
 Daging Sapi Murni,2021,Juni,Rp124.774
 Daging Ayam Ras,2021,Juni,Rp35.866
 Telur Ayam Ras,2021,Juni,Rp25.325
 Gula Pasir Lokal/Curah,2021,Juni,Rp13.347
 Tepung Terigu Curah,2021,Juni,Rp8.401
 Minyak Goreng Kemasan,2021,Juni,Rp13.270
Beras Premium,2021,Juli,Rp12.320
Beras Medium,2021,Juli,Rp10.846
Kedelai Biji Kering,2021,Juli,Rp11.859
Bawang Merah,2021,Juli,Rp31.897
Bawang Putih (Bonggol),2021,Juli,Rp29.077
Cabai Merah Keriting,2021,Juli,Rp36.599
Cabai Rawit Merah,2021,Juli,Rp63.021
 Daging Sapi Murni,2021,Juli,Rp125.917
 Daging Ayam Ras,2021,Juli,Rp34.537
 Telur Ayam Ras,2021,Juli,Rp25.107
 Gula Pasir Lokal/Curah,2021,Juli,Rp13.345
 Tepung Terigu Curah,2021,Juli,Rp8.481
 Minyak Goreng Kemasan,2021,Juli,Rp14.451
Beras Premium,2021,Agustus,Rp12.321
Beras Medium,2021,Agustus,Rp10.820
Kedelai Biji Kering,2021,Agustus,Rp11.821
Bawang Merah,2021,Agustus,Rp32.657
Bawang Putih (Bonggol),2021,Agustus,Rp29.330
Cabai Merah Keriting,2021,Agustus,Rp30.963
Cabai Rawit Merah,2021,Agustus,Rp46.882
 Daging Sapi Murni,2021,Agustus,Rp125.303
 Daging Ayam Ras,2021,Agustus,Rp33.539
 Telur Ayam Ras,2021,Agustus,Rp25.028
 Gula Pasir Lokal/Curah,2021,Agustus,Rp13.301
 Tepung Terigu Curah,2021,Agustus,Rp8.472
 Minyak Goreng Kemasan,2021,Agustus,Rp14.861
Beras Premium,2021,September,Rp12.318
Beras Medium,2021,September,Rp10.810
Kedelai Biji Kering,2021,September,Rp11.784
Bawang Merah,2021,September,Rp28.890
Bawang Putih (Bonggol),2021,September,Rp28.581
Cabai Merah Keriting,2021,September,Rp28.052
Cabai Rawit Merah,2021,September,Rp35.584
 Daging Sapi Murni,2021,September,Rp125.214
 Daging Ayam Ras,2021,September,Rp34.391
 Telur Ayam Ras,2021,September,Rp23.474
 Gula Pasir Lokal/Curah,2021,September,Rp13.277
 Tepung Terigu Curah,2021,September,Rp8.488
 Minyak Goreng Kemasan,2021,September,Rp15.244
Beras Premium,2021,Oktober,Rp12.333
Beras Medium,2021,Oktober,Rp10.823
Kedelai Biji Kering,2021,Oktober,Rp11.811
Bawang Merah,2021,Oktober,Rp28.004
Bawang Putih (Bonggol),2021,Oktober,Rp28.351
Cabai Merah Keriting,2021,Oktober,Rp32.515
Cabai Rawit Merah,2021,Oktober,Rp36.846
 Daging Sapi Murni,2021,Oktober,Rp125.353
 Daging Ayam Ras,2021,Oktober,Rp35.184
 Telur Ayam Ras,2021,Oktober,Rp22.611
 Gula Pasir Lokal/Curah,2021,Oktober,Rp13.289
 Tepung Terigu Curah,2021,Oktober,Rp8.502
